prix_fcfa,superficie_m2,nombre_pieces,nombre_salles_bain,jardin,piscine,parking,terrasse,cuisineEquipee,securisee,balcon,cite,meuble,basse,duplex,triplex
150000000.0,200.0,4.0,3.0,1,1,1,1,1,0,0,0,1,1,0,0
75000000.0,400.0,4.0,4.0,0,0,0,0,0,1,0,1,0,0,1,0
75000000.0,250.0,4.0,4.0,0,0,1,1,1,0,0,1,1,1,0,0
250000000.0,450.0,6.0,4.0,0,0,0,1,0,1,0,1,0,0,1,0
150000000.0,300.0,9.0,3.0,0,0,1,1,1,0,0,0,1,0,1,0
250000000.0,800.0,10.0,9.0,0,0,1,0,0,0,0,0,0,0,1,0
380000000.0,407.0,6.0,4.0,1,1,1,0,0,0,0,1,0,0,1,0
350000000.0,300.0,4.0,5.0,1,1,1,1,1,0,1,0,1,0,1,0
250000000.0,300.0,5.0,4.0,1,0,1,1,1,1,0,1,1,0,1,0
300000000.0,548.0,5.0,5.0,1,1,1,1,0,0,0,0,1,1,0,0
130000000.0,200.0,9.0,6.0,0,0,1,0,1,1,0,1,1,0,0,1
10000000.0,1000.0,5.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0
250000000.0,250.0,5.0,4.0,0,0,0,0,0,0,0,0,0,0,1,0
59000000.0,307.0,5.0,4.0,0,0,0,0,0,0,0,0,0,1,0,0
65000000.0,220.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0
160000000.0,230.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,1,0
75000000.0,200.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,1,0
200000000.0,250.0,7.0,5.0,0,0,0,0,0,0,0,0,0,0,0,1
28000000.0,250.0,4.0,4.0,0,0,0,0,0,0,0,0,0,1,0,0
200000000.0,400.0,5.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0
80000000.0,340.0,5.0,4.0,0,0,0,0,0,0,0,1,0,0,1,0
16000000.0,100.0,3.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0
150000000.0,400.0,6.0,5.0,0,0,0,0,0,0,0,1,0,0,1,0
150000000.0,400.0,6.0,5.0,0,0,0,0,0,0,0,1,0,0,1,0
29000000.0,200.0,4.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
35000000.0,150.0,4.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
55000000.0,250.0,3.0,3.0,0,0,0,0,0,0,0,1,0,1,0,0
90000000.0,180.0,4.0,4.0,0,0,1,0,0,0,0,1,0,1,0,0
1600000000.0,3204.0,14.0,11.0,0,0,0,0,0,0,0,1,0,0,1,0
150000000.0,750.0,4.0,4.0,0,0,0,0,0,0,0,1,0,1,0,0
160000000.0,420.0,4.0,4.0,1,0,0,1,0,0,0,1,0,1,0,0
380000000.0,565.0,8.0,7.0,0,1,0,0,0,0,0,1,1,0,1,0
375000000.0,460.0,6.0,4.0,1,1,1,1,1,1,1,1,1,0,1,0
70000000.0,200.0,4.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0
1200000000.0,1200.0,7.0,7.0,1,0,1,1,1,0,0,1,1,1,0,0
130000000.0,427.0,5.0,4.0,0,0,1,1,1,0,0,1,1,0,1,0
480000000.0,800.0,7.0,6.0,0,1,1,1,1,0,0,1,1,0,1,0
1200000000.0,1200.0,7.0,6.0,1,0,1,1,1,0,0,0,1,1,0,0
180000000.0,300.0,6.0,5.0,0,0,1,0,1,0,0,0,1,0,1,0
200000000.0,430.0,4.0,4.0,1,0,1,1,1,0,0,0,1,0,1,0
195000000.0,400.0,5.0,4.0,1,0,1,0,0,1,0,1,0,0,1,0
280000000.0,400.0,8.0,5.0,0,0,0,1,0,0,0,0,0,0,1,0
80000000.0,200.0,4.0,4.0,0,0,1,1,0,1,0,1,0,0,1,0
160000000.0,350.0,6.0,5.0,1,0,1,1,1,0,0,0,1,0,1,0
370000000.0,800.0,4.0,4.0,1,0,1,0,0,0,0,0,0,1,0,0
300000000.0,561.0,6.0,4.0,0,0,0,0,0,0,0,1,0,0,1,0
60000000.0,101.0,3.0,1.0,0,0,1,1,1,0,0,1,1,1,0,0
95000000.0,300.0,4.0,4.0,0,0,1,1,0,0,0,1,0,1,0,0
365000000.0,460.0,6.0,4.0,1,1,1,1,1,1,1,1,1,0,1,0
160000000.0,230.0,5.0,4.0,0,0,1,0,1,0,0,1,1,0,1,0
120000000.0,230.0,4.0,4.0,1,0,1,1,0,0,1,1,0,0,1,0
280000000.0,546.0,8.0,6.0,1,1,1,1,1,0,1,1,1,0,1,0
375000000.0,460.0,6.0,5.0,1,1,1,0,1,0,1,1,1,0,1,0
100000000.0,320.0,4.0,4.0,0,0,1,1,0,0,0,1,0,1,0,0
400000000.0,617.0,9.0,4.0,0,0,1,0,1,1,0,1,1,0,1,0
120000000.0,200.0,5.0,4.0,0,0,0,0,0,0,0,1,0,0,1,0
180000000.0,5.0,5.0,5.0,1,0,0,0,1,1,0,1,1,0,1,0
95000000.0,300.0,4.0,2.0,0,0,1,1,0,0,0,1,0,1,0,0
365000000.0,460.0,6.0,4.0,1,1,1,1,1,1,1,1,1,0,1,0
160000000.0,300.0,6.0,4.0,1,0,1,0,0,0,0,1,0,0,1,0
70000000.0,200.0,4.0,4.0,0,0,1,0,1,0,0,1,1,0,1,0
60000000.0,270.0,4.0,4.0,0,0,0,0,0,0,0,1,0,0,1,0
220000000.0,300.0,4.0,3.0,1,0,1,1,1,0,1,1,1,1,0,0
50000000.0,200.0,4.0,4.0,1,0,1,1,0,0,0,1,0,1,0,0
160000000.0,350.0,6.0,5.0,1,0,1,1,1,0,0,1,1,0,1,0
75000000.0,200.0,4.0,4.0,0,0,1,1,0,0,0,1,0,0,1,0
350000000.0,260.0,6.0,4.0,1,1,1,1,1,1,1,1,1,0,0,1
280000000.0,546.0,8.0,6.0,1,1,1,1,1,1,1,0,1,0,1,0
125000000.0,200.0,5.0,4.0,0,0,1,1,0,0,0,1,0,0,1,0
180000000.0,400.0,5.0,4.0,1,0,1,0,1,1,0,0,1,0,1,0
160000000.0,385.0,5.0,4.0,0,1,0,1,0,1,0,1,0,0,1,0
400000000.0,617.0,8.0,6.0,0,0,1,0,1,1,0,1,1,0,1,0
165000000.0,350.0,6.0,5.0,1,0,1,0,1,0,0,1,1,0,1,0
250000000.0,240.0,7.0,6.0,0,1,0,1,0,0,0,0,0,0,1,0
95000000.0,210.0,4.0,2.0,0,0,1,1,0,0,0,0,0,1,0,0
160000000.0,260.0,5.0,4.0,1,0,1,0,1,1,0,0,1,1,0,0
95000000.0,210.0,4.0,2.0,0,0,0,1,1,0,0,1,1,1,0,0
250000000.0,380.0,7.0,5.0,1,0,1,1,0,0,0,1,0,0,1,0
140000000.0,230.0,5.0,5.0,0,1,0,1,1,0,0,0,1,1,0,0
75000000.0,200.0,4.0,4.0,0,0,1,1,0,0,0,1,0,0,1,0
90000000.0,200.0,4.0,3.0,0,0,1,0,0,0,0,0,0,1,0,0
300000000.0,300.0,5.0,4.0,1,1,1,0,1,1,0,0,1,0,1,0
350000000.0,260.0,6.0,4.0,1,1,1,1,1,1,1,0,1,0,0,1
95000000.0,223.0,6.0,5.0,0,0,1,1,1,0,0,0,1,0,1,0
100000000.0,300.0,4.0,4.0,0,0,1,0,0,0,0,1,0,1,0,0
650000000.0,800.0,7.0,5.0,1,0,1,0,1,0,0,0,1,0,1,0
450000000.0,400.0,9.0,6.0,0,0,1,1,1,0,0,1,1,0,1,0
70000000.0,200.0,4.0,4.0,0,0,1,1,0,0,0,1,0,0,1,0
420000000.0,380.0,8.0,8.0,1,0,1,1,1,0,0,0,1,0,1,0
160000000.0,350.0,5.0,4.0,1,0,0,1,0,0,0,0,0,0,1,0
375000000.0,460.0,6.0,5.0,1,1,1,1,1,0,1,1,1,0,1,0
200000000.0,430.0,4.0,4.0,1,0,1,1,1,0,0,0,1,0,1,0
160000000.0,385.0,5.0,5.0,0,1,0,1,0,1,0,1,0,0,1,0
300000000.0,5.0,5.0,5.0,1,1,0,0,0,1,0,1,1,0,1,0
700000000.0,1000.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0
180000000.0,600.0,8.0,6.0,0,0,0,0,0,0,0,0,0,0,1,0
150000000.0,300.0,5.0,4.0,1,0,0,1,0,0,0,1,0,0,1,0
150000000.0,300.0,5.0,4.0,1,0,0,1,0,0,0,1,0,0,1,0
150000000.0,250.0,6.0,5.0,0,0,1,0,0,0,1,0,0,0,1,0
550000000.0,700.0,12.0,8.0,1,1,1,1,0,0,0,0,0,0,1,0
350000000.0,260.0,6.0,4.0,1,1,1,1,1,1,1,0,1,0,0,1
70000000.0,200.0,4.0,4.0,0,0,1,0,1,0,0,1,1,0,1,0
250000000.0,424.0,8.0,4.0,0,0,1,1,1,0,0,0,1,0,1,0
1800000000.0,1117.0,18.0,8.0,1,0,1,1,1,0,0,1,1,0,0,0
420000000.0,617.0,6.0,6.0,0,0,1,0,1,1,0,1,1,0,0,0
59000000.0,307.0,4.0,3.0,1,0,1,0,1,1,0,0,1,0,0,0
95000000.0,210.0,4.0,3.0,0,0,0,1,1,0,0,1,1,1,0,0
400000000.0,617.0,8.0,6.0,0,0,1,0,1,1,0,0,1,0,1,0
150000000.0,300.0,5.0,4.0,1,0,0,1,0,0,0,1,0,0,1,0
380000000.0,595.0,8.0,6.0,0,1,0,0,0,0,0,1,1,0,1,0
280000000.0,654.0,5.0,5.0,0,0,0,0,0,0,0,0,0,1,0,0
150000000.0,300.0,5.0,4.0,1,0,0,1,0,0,0,1,0,0,1,0
140000000.0,230.0,5.0,4.0,0,0,1,0,1,1,0,0,1,0,1,0
140000000.0,300.0,5.0,4.0,1,0,1,0,1,0,0,0,1,0,1,0
150000000.0,210.0,5.0,5.0,0,1,1,1,0,1,0,1,0,0,1,0
350000000.0,500.0,7.0,5.0,1,0,1,0,1,0,0,1,1,0,1,0
200000000.0,374.0,6.0,3.0,1,0,1,1,1,0,0,1,1,0,1,0
700000000.0,559.0,6.0,5.0,1,1,0,1,1,0,0,1,1,0,1,0
750000000.0,1200.0,19.0,12.0,0,0,0,0,0,0,0,0,0,0,1,0
365000000.0,460.0,6.0,4.0,1,1,1,1,1,1,1,1,1,0,1,0
79000000.0,408.0,4.0,4.0,1,0,1,0,0,0,0,0,0,1,0,0
165000000.0,300.0,5.0,3.0,1,0,1,0,0,0,0,1,0,0,1,0
200000000.0,400.0,7.0,5.0,1,0,1,1,1,0,1,0,1,0,1,0
175000000.0,350.0,6.0,5.0,0,0,1,0,0,0,0,1,0,0,1,0
90000000.0,110.0,4.0,3.0,0,0,1,0,0,0,0,0,0,1,0,0
